,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,57,45,69,12,0.3393442808484113,4.6726434780200465,-2.4777772043158826,-4.064046552764994,GLUGLU_log_sample1
1,54,42,66,12,0.340169179466723,4.1746122446743845,-2.529834021073967,-3.950476700008161,GLUGLU_log_sample2
2,74,59,89,15,0.2715415420941308,6.558498359865377,-2.456949387027958,-4.238566792449799,GALGAL_log_sample1
3,77,62,92,15,0.27088157724694406,6.519409097046844,-2.4883620875076105,-4.255056584232425,GALGAL_log_sample2
4,104,86,122,18,0.21953057102226542,9.767973021560007,-2.5053394292157702,-4.650566215083269,RAFRAF_log_sample1
5,98,81,115,17,0.22735365309227717,9.144148649590223,-2.4954680983310054,-4.575255613240119,RAFRAF_log_sample2
6,110,96,124,14,0.2701836885721278,12.72678010603232,-2.4739759180353214,-5.913920288477686,GLUGAL_log_sample1
7,110,96,124,14,0.2764790542788973,12.104723643144085,-2.4719676996250706,-5.8200094614937035,GLUGAL_log_sample2
8,121,103,139,18,0.2140711191011364,13.5747985370941,-2.4746012679141116,-5.381736436389706,GLURAF_log_sample1
9,114,97,131,17,0.2374078641152182,12.678503969255871,-2.49293848392006,-5.5041195038453825,GLURAF_log_sample2
10,92,77,107,15,0.2690742062833924,9.234034160073596,-2.4602764095312515,-4.945911075813299,RAFGAL_log_sample1
11,91,77,105,14,0.27761996714051773,9.292746969593859,-2.474137939932946,-5.05502240206159,RAFGAL_log_sample2
12,57,46,68,11,0.353249406971623,4.881829878622066,-2.5079390620310087,-4.233132649025402,GALGLU_log_sample1
13,56,45,67,11,0.3524697294053476,4.657921254170431,-2.5103987036138853,-4.152831920949689,GALGLU_log_sample2
14,57,45,69,12,0.33863546180126386,4.556073158584798,-2.5140219227304983,-4.057487246917879,RAFGLU_log_sample1
15,58,46,70,12,0.34095861013714596,4.891866526374987,-2.53886558758067,-4.207457035969269,RAFGLU_log_sample2
16,104,88,120,16,0.23865707394434799,10.375887820037896,-2.512003535193827,-4.989273469872742,GALRAF_log_sample1
17,101,85,117,16,0.24471081260556826,10.196988023097255,-2.4769719930205225,-4.9732837429818835,GALRAF_log_sample2
