,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,234446.8,314446.2,212382.5,250023.0,1276.0,1202.1,429.4,236.2,336.6,-62.3,401.2,657.0,327.6,40.5,255.9,-32.9,1373.4546,0.0
1,212998.2,273431.3,214126.8,241394.6,1342.8,1275.3,374.9,432.3,579.3,252.2,618.5,192.1,347.6,80.9,264.8,-109.9,1314.5721,23.0
2,233976.2,230967.0,127721.3,124149.8,1139.5,899.8,460.5,470.5,460.4,213.1,559.1,252.2,371.0,-137.6,212.4,-23.2,1010.82886,27.0
3,237049.2,257116.4,169710.5,168373.2,1158.6,817.0,262.7,20.1,376.4,148.1,425.0,181.4,312.5,216.6,289.7,-39.0,1110.6897,29.0
4,286340.2,350209.6,278118.9,293832.3,1686.2,1544.2,468.3,211.5,367.1,-41.2,624.7,710.8,213.6,-210.7,321.1,-8.9,1252.4238,32.0
5,185450.4,192085.6,139599.7,136930.5,462.7,48.0,438.0,565.3,336.0,-81.0,426.0,553.7,451.5,197.0,235.1,25.9,1060.6508,41.0
6,226765.2,233013.6,165190.3,161364.8,939.1,317.7,311.3,78.3,345.3,301.5,456.4,169.8,357.1,-197.3,152.3,-70.7,1052.2395,49.0
7,496121.0,614824.8,432580.7,484449.4,2974.3,3457.8,628.1,344.2,502.0,327.5,1083.0,1149.7,370.2,181.5,412.3,428.5,1269.0071,60.0
8,233498.4,245041.2,168352.3,162830.0,776.0,770.6,265.5,348.2,506.4,41.2,624.5,259.7,418.4,195.8,284.5,30.6,1074.6307,65.0
9,219234.6,238154.5,157966.4,165982.7,1444.6,983.4,473.7,465.0,321.5,167.4,579.2,289.8,461.4,-293.2,257.3,-55.9,1112.3842,76.0
10,295755.0,322126.4,241482.6,254634.4,1363.9,1264.2,410.0,325.6,311.9,-3.1,646.7,423.3,430.2,10.3,164.8,-172.2,1115.3163,79.0
11,169929.6,234156.9,160314.3,177862.4,1050.4,985.2,247.7,-259.7,309.1,113.6,592.3,399.9,426.7,405.1,241.2,58.8,1411.0432,99.0
12,487001.4,665850.0,562868.3,677486.0,2963.0,2888.2,817.7,640.1,583.4,161.5,1082.2,1554.8,463.6,258.9,318.9,181.5,1400.0614,100.0
13,359992.4,469171.0,254054.1,300312.5,1736.5,1680.7,643.6,387.6,452.7,52.7,710.3,718.2,377.3,367.6,369.6,113.1,1334.5591,101.0
14,231812.8,228339.7,130625.5,126750.0,1034.8,773.6,420.5,30.3,313.6,79.0,370.1,146.1,329.2,9.4,200.3,90.2,1008.67584,117.0
15,307998.2,356601.4,188082.5,214378.8,1407.8,1443.3,342.3,331.2,375.5,367.8,959.5,1047.5,408.5,190.1,334.6,247.1,1185.6117,124.0
16,190745.2,190874.4,115339.0,112243.6,818.4,412.4,400.1,149.1,442.7,307.5,397.6,341.9,557.3,28.6,192.3,-10.7,1024.6952,126.0
17,259920.6,272026.8,157083.6,158167.8,1319.3,811.5,227.8,-167.4,460.7,-40.7,432.0,349.3,340.1,161.3,317.8,225.0,1071.6957,137.0
18,312292.2,376340.0,190779.1,219839.2,1494.0,1751.4,512.4,539.6,480.2,221.4,765.6,661.1,435.1,-20.6,351.6,292.4,1234.0265,139.0
19,197506.1,221288.7,142677.3,141696.4,1246.3,1118.5,252.8,163.8,411.5,-43.5,696.5,288.9,400.2,151.2,311.9,274.9,1147.313,163.0
20,212513.9,247508.2,194412.3,201265.5,1259.1,1265.6,345.5,193.8,414.1,66.1,526.1,181.4,329.7,-31.5,338.3,46.0,1192.63,164.0
21,457161.7,561505.4,293229.3,327546.4,2383.3,2445.0,808.6,801.9,395.1,245.0,593.9,558.0,311.3,93.2,345.0,397.6,1257.724,167.0
22,276646.1,361982.5,297258.5,334973.1,1213.7,1158.2,418.5,116.9,317.3,225.3,543.8,728.6,330.1,5.5,290.8,-6.7,1339.8987,170.0
23,200785.9,210413.3,130193.2,128696.9,823.7,785.4,323.1,120.8,303.5,8.9,491.4,236.6,235.6,-227.8,365.0,5.8,1073.108,172.0
24,291654.5,405134.2,268453.0,313146.7,2009.8,1889.4,471.5,568.3,390.4,266.7,843.6,874.4,449.8,-190.2,341.0,412.1,1422.4569,175.0
25,318845.2,428437.8,337745.7,399211.6,1274.1,770.4,363.6,172.8,479.9,361.1,719.3,586.8,334.1,23.8,304.0,34.1,1375.9863,182.0
26,215220.0,245248.8,155547.0,163332.0,997.0,209.4,266.9,30.9,370.3,-33.6,450.2,234.8,377.6,-130.8,227.4,-13.4,1166.8926,186.0
27,224954.6,264647.3,180465.3,191412.6,1069.5,628.1,329.2,236.3,368.4,98.9,560.1,380.9,356.2,-195.0,436.4,185.4,1204.695,195.0
28,210509.6,265523.1,178341.2,195045.1,1030.5,893.6,320.6,188.0,430.6,-104.0,495.7,340.3,445.6,19.9,181.1,-87.7,1291.6407,204.0
29,349415.9,821363.0,390397.5,752086.2,2382.1,4413.4,537.6,1014.9,403.2,127.6,790.5,1581.8,382.9,96.1,382.1,93.4,2407.145,208.0
30,327925.9,418138.9,295905.2,340255.0,1663.1,1734.9,347.1,340.3,458.6,-48.2,576.1,429.9,427.2,156.8,311.8,-86.5,1305.7249,212.0
31,232316.2,246894.1,166311.2,166864.7,1207.8,771.9,328.7,-167.9,348.4,-144.3,548.9,146.5,360.5,19.6,284.4,71.2,1088.2755,216.0
32,211376.8,249126.6,191182.3,202018.9,1254.1,1023.3,483.1,723.0,445.3,28.3,623.3,358.3,368.1,-143.1,437.8,180.9,1206.8779,218.0
33,291544.2,336644.9,233891.9,237029.7,1684.9,1377.9,671.5,384.3,404.9,44.4,778.7,748.3,485.0,133.1,196.8,-177.4,1182.4062,220.0
34,288282.3,338850.3,218750.9,236540.7,1212.1,1104.0,391.9,314.2,326.1,-53.6,442.9,323.5,280.3,-32.2,324.8,35.7,1203.628,224.0
35,223267.3,276536.9,205991.7,230116.6,1099.2,752.8,448.1,-29.8,503.0,-70.4,571.7,384.2,393.9,168.0,398.6,88.9,1268.3319,231.0
36,175948.7,178776.4,101032.5,100603.6,704.4,574.3,195.8,-129.6,442.4,176.3,427.8,143.7,348.7,-334.0,218.4,39.1,1040.4823,235.0
37,178555.0,192298.7,135299.4,141859.6,989.0,760.2,512.3,267.5,441.8,12.3,373.5,254.2,241.8,-59.2,162.5,-140.2,1102.8336,236.0
