,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,202882.6,229809.3,192314.9,202268.3,1456.7,1541.6,388.0,436.1,400.6,-179.5,671.3,627.5,336.2,21.5,344.5,154.9,1159.9192,0.0
1,114396.9,114326.3,73809.0,70256.3,582.3,581.6,305.9,-47.5,431.2,-81.5,441.1,-68.4,426.6,-129.3,350.3,137.9,1023.4047,18.0
2,241725.7,295074.8,116085.5,130081.4,1738.1,1643.8,712.6,743.3,287.4,-201.6,801.5,994.9,423.0,111.9,300.3,271.8,1250.0239,19.0
3,203179.3,216293.2,146696.8,145086.2,848.8,1078.8,381.2,115.0,500.1,196.0,623.5,642.9,336.6,151.4,327.7,278.9,1090.1093,20.0
4,239960.4,282173.4,209870.8,225466.4,2302.7,2019.9,541.2,452.3,360.3,322.8,958.7,811.7,426.1,-23.1,332.3,338.1,1204.1388,21.0
5,153649.5,155243.7,98115.0,93477.8,720.4,345.6,220.2,-170.4,419.6,214.1,334.1,295.0,403.2,-227.8,265.0,-176.1,1034.6333,22.0
6,200137.7,221494.0,134494.0,139236.4,1333.7,1362.2,623.5,308.4,639.3,111.4,617.3,556.1,414.9,355.7,383.8,258.4,1133.2761,30.0
7,191400.5,196009.3,129613.1,125156.8,1417.3,1134.5,602.8,307.2,451.2,422.2,512.8,462.6,345.6,-224.9,305.4,31.2,1048.6584,37.0
8,158876.1,154351.4,87165.6,85211.8,876.7,589.8,342.6,200.6,403.7,216.7,418.0,361.9,220.7,-202.6,265.2,6.1,994.86017,47.0
9,195381.8,260067.3,175880.0,202345.6,1497.1,1771.4,589.1,372.7,507.7,120.8,835.7,797.9,223.9,-213.8,441.6,645.3,1363.0569,58.0
10,162843.7,172972.0,129216.0,130597.8,942.1,686.2,288.2,175.3,484.5,-49.6,504.1,111.0,311.6,67.0,404.5,479.7,1087.7139,64.0
11,126443.8,141254.2,104166.1,101470.9,651.6,585.7,312.6,61.5,473.1,60.2,697.2,146.3,278.7,-214.1,340.0,163.7,1143.9742,82.0
12,188497.1,240078.3,154777.1,179423.5,1519.5,1191.5,595.5,400.9,255.5,61.6,836.3,647.3,377.8,205.6,335.1,216.8,1304.218,110.0
13,221587.3,217322.8,152558.5,147958.8,1145.7,1209.9,700.6,494.0,356.2,26.0,469.2,212.3,504.5,266.5,326.3,145.2,1004.30646,122.0
14,272725.3,337682.3,271123.4,303380.2,1995.3,2284.7,746.8,974.9,330.1,-56.3,930.7,810.8,650.7,-15.9,494.9,364.6,1267.9171,125.0
15,173670.7,378567.0,147254.8,275816.9,1625.0,2117.8,669.0,768.4,599.4,429.8,647.0,566.8,422.2,403.0,254.1,-41.6,2232.196,155.0
16,249144.9,301365.6,156911.6,180784.0,1716.0,1865.1,715.7,699.5,437.3,-70.1,936.9,500.6,663.7,116.6,295.7,-76.3,1238.6321,157.0
17,166269.2,190686.4,165859.2,171304.6,1189.5,795.3,465.1,332.8,373.1,6.3,552.9,618.1,376.5,-40.8,373.7,258.0,1174.4121,160.0
18,205028.9,236915.2,118745.8,129276.0,1567.0,1471.7,475.9,438.1,374.5,77.6,596.4,409.7,249.8,8.8,525.6,200.3,1183.2808,169.0
19,189654.0,216093.3,184693.8,194871.3,1547.3,1265.7,505.6,458.9,468.5,70.2,816.6,764.8,454.5,124.0,276.4,100.9,1166.7865,177.0
20,156091.6,149460.7,104631.6,99762.9,803.7,489.0,434.6,367.0,315.5,-14.9,418.9,249.4,308.8,-89.6,233.3,9.5,980.52094,179.0
21,220978.0,253405.8,161225.2,177405.9,1230.2,1114.2,682.6,252.6,374.4,69.1,565.2,730.3,452.4,147.1,332.6,42.1,1174.278,198.0
22,142468.1,169498.7,139556.9,146216.8,871.5,1061.0,637.3,447.0,464.2,307.7,433.9,196.8,377.7,-134.2,245.2,-105.1,1218.3145,205.0
23,198605.0,221919.4,118163.0,121691.1,1288.8,1140.2,433.7,202.5,438.9,310.5,674.8,363.9,402.9,-55.0,322.2,112.5,1144.2323,222.0
24,182324.2,194264.8,121767.4,119266.6,1056.2,804.9,352.1,257.5,539.8,88.2,381.4,233.4,422.0,-129.7,410.3,-27.4,1091.0863,237.0
25,170062.3,166158.6,91336.8,87760.8,976.5,420.6,223.6,-40.0,409.8,255.3,472.6,103.4,350.0,81.4,182.0,-380.1,1000.531,254.0
26,197945.4,235198.8,121286.2,132836.9,1070.4,1482.5,575.0,617.1,439.1,340.1,723.2,474.4,434.5,163.2,247.5,-63.9,1216.7217,257.0
27,142830.8,149262.0,100784.1,96447.0,867.1,848.6,250.0,229.1,424.1,36.0,663.3,162.5,500.8,79.6,303.3,206.4,1070.1583,274.0
28,124148.5,138009.0,87061.4,85882.4,926.3,588.0,308.3,334.0,474.9,253.3,351.1,39.8,275.2,-354.2,274.7,-156.1,1138.3611,279.0
29,123735.1,134875.7,90337.7,88710.4,777.3,754.7,300.8,178.5,396.0,-168.6,659.0,281.8,377.9,211.8,302.9,9.5,1116.2592,283.0
30,235366.3,305723.2,235613.7,260653.8,1983.0,1853.2,557.6,482.1,460.8,229.2,992.3,1101.5,378.5,-160.1,378.9,11.2,1330.134,284.0
31,248446.6,305906.9,230672.1,265917.4,1675.8,1693.8,623.3,427.6,331.3,299.6,548.4,708.8,591.6,245.5,274.3,120.9,1260.8588,291.0
32,193777.2,199513.0,145256.0,143475.8,1340.4,811.9,343.0,107.5,572.0,179.0,551.7,391.8,524.4,280.1,306.5,270.7,1054.3142,294.0
33,192153.1,196823.4,109536.9,106204.8,1053.2,940.2,463.0,179.8,307.4,-91.6,945.2,424.6,379.6,78.3,426.4,1.8,1048.8896,305.0
34,167500.4,177115.1,106913.8,104966.8,994.7,940.6,358.1,305.2,455.7,23.8,481.3,244.5,414.5,-59.2,338.4,-223.0,1082.8065,321.0
35,140636.4,145768.6,89158.4,85216.4,721.4,533.7,313.6,84.7,437.3,103.7,518.9,250.3,425.7,117.8,273.5,-266.3,1061.401,322.0
36,204967.2,266376.5,153109.6,171598.0,1325.8,1384.4,659.6,522.7,327.1,92.0,629.8,715.2,393.6,349.1,462.6,179.8,1330.8428,326.0
37,146215.6,162359.9,122812.7,120079.1,801.2,566.6,375.9,244.6,478.5,39.9,587.2,370.6,378.8,438.6,197.3,17.9,1137.1206,337.0
38,146906.2,138077.4,102020.2,96006.8,577.7,391.2,333.2,7.3,375.9,86.4,418.9,18.8,307.3,-16.7,323.0,118.2,962.47107,360.0
39,192419.5,228141.2,144193.3,155922.2,1272.6,1080.6,388.2,146.3,433.4,177.2,621.2,238.4,382.1,136.8,397.0,10.5,1214.1215,364.0
40,113907.1,107104.6,64372.7,61396.7,770.4,409.9,394.1,293.0,519.5,101.7,449.3,123.1,271.7,98.7,275.7,136.1,962.8678,374.0
41,144488.9,158842.1,97745.9,94607.1,1082.0,597.9,329.0,135.3,466.0,159.6,530.6,303.4,338.9,239.1,319.7,-110.3,1125.7281,375.0
42,107862.0,122349.6,87097.5,85578.3,847.1,418.5,247.8,146.5,474.0,121.2,491.5,361.9,421.8,350.2,427.0,386.3,1161.6033,381.0
43,158398.9,201647.7,155824.9,174300.8,1055.8,966.5,368.6,395.9,333.8,123.8,591.4,496.3,478.6,30.5,347.0,347.6,1303.6425,411.0
44,165942.7,173784.4,112102.8,109442.9,1064.6,952.9,413.5,449.4,261.1,-382.0,568.6,504.8,364.9,-88.4,185.8,53.7,1072.4274,419.0
45,105075.3,112709.0,77539.8,74670.1,660.5,415.9,378.3,-23.7,359.4,119.3,474.7,284.3,566.9,-201.9,276.7,-46.6,1098.423,428.0
46,167340.6,183166.5,111347.5,111252.8,1068.6,1348.4,378.5,176.2,371.0,91.5,625.5,434.2,247.5,-151.4,325.7,121.3,1120.8735,429.0
47,155774.9,178414.3,125305.8,127723.0,1072.7,942.4,346.0,129.0,324.4,182.4,597.4,437.7,406.3,-19.2,139.7,-156.7,1172.8721,432.0
48,202377.9,219852.5,136947.9,139705.1,1120.5,907.7,414.0,329.5,691.1,118.5,582.9,608.7,667.0,217.0,333.8,58.7,1112.4292,437.0
49,153176.7,166417.7,112639.0,114729.0,933.3,705.9,383.0,214.5,315.8,-400.0,449.8,109.0,391.1,37.1,516.3,415.7,1112.5177,439.0
