,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,273092.6,341713.5,188416.2,220248.6,5961.4,7067.7,24673.0,28624.4,524.6,421.6,1005.4,1055.1,138486.4,173981.5,118172.5,148735.2,1281.3236,0.0
1,279268.4,288599.7,188042.2,185830.8,5186.5,5601.7,23388.7,23504.2,564.9,646.2,1152.4,999.2,133923.2,147351.2,114903.7,126406.5,1058.2294,2.0
2,203066.9,218855.4,165258.4,162975.6,4719.7,4610.2,18788.2,18520.2,513.9,511.5,769.6,558.7,107716.4,116667.4,92426.7,100117.2,1103.6274,10.0
3,354978.7,679337.3,383751.5,579872.6,11432.0,17779.3,43543.5,70173.0,790.3,847.3,1874.9,3106.5,268371.0,450803.0,228992.7,384095.2,1959.6833,15.0
4,221508.6,233571.8,177316.7,175890.6,4231.8,4164.0,17720.3,17453.8,570.8,378.0,623.6,829.0,100494.2,110174.5,86722.0,95208.6,1079.7874,27.0
5,182544.0,187366.7,128184.5,124783.3,2815.8,2741.6,11462.8,11730.3,520.5,32.4,638.2,515.1,67949.3,73935.7,58796.9,63692.6,1051.0524,34.0
6,288196.1,340842.9,184145.4,209324.2,7527.4,8156.3,30254.2,34461.3,646.5,488.8,1241.9,1453.5,179641.2,218120.4,150108.8,183785.5,1211.0753,40.0
7,237685.1,285135.2,177626.7,192811.1,5850.7,5824.3,20377.8,22047.8,537.0,686.8,1111.6,1034.5,120761.2,141174.5,102579.4,119852.3,1228.451,59.0
8,237787.8,332906.3,223014.1,261407.1,7199.3,7886.7,27683.3,32007.5,466.5,441.3,1377.1,1188.6,163843.1,205291.4,138939.9,173994.4,1433.6362,69.0
9,214794.7,227501.0,160995.8,160424.4,4190.2,4054.2,17140.5,16857.2,474.3,-13.2,883.3,319.8,97340.4,107969.0,84233.8,92515.0,1084.5865,77.0
10,216988.4,290571.9,219251.7,253118.6,5931.5,6153.0,22426.3,25425.0,495.7,615.6,1140.6,1220.8,132318.2,162483.9,113416.2,139660.9,1371.2772,88.0
11,241035.4,224529.8,87402.9,81396.3,3300.8,3159.6,13977.4,13726.2,448.4,158.3,885.2,618.9,80931.0,86358.2,68821.7,73770.3,953.8887,92.0
12,235885.3,236498.4,132265.3,128440.1,4140.7,4141.7,14766.9,14401.1,534.9,228.4,523.5,597.8,88397.1,94690.2,75024.8,80264.8,1026.6807,100.0
13,292951.8,379320.8,321887.2,366436.1,7634.5,9021.9,32460.5,38018.8,802.5,388.0,1342.2,2154.1,192020.0,246671.4,164673.6,210677.7,1325.9315,109.0
14,194483.9,208458.3,139796.5,138314.8,3970.3,4106.8,17749.3,17430.6,695.3,275.7,907.5,987.5,104120.4,113194.9,88235.4,96797.2,1097.5986,136.0
15,166191.2,172318.5,122761.5,121047.8,3428.9,3160.0,12110.4,11709.6,567.8,379.3,742.9,383.3,74321.8,80615.1,64513.4,68765.1,1061.7998,143.0
16,149417.1,148427.2,95819.0,91854.4,3124.9,3023.6,11595.0,10930.3,520.1,302.2,686.9,501.7,71461.9,76253.6,61301.5,65470.3,1017.22205,150.0
17,152058.4,166884.4,110964.3,108651.9,2808.0,2401.3,9784.1,9343.0,474.7,80.8,488.3,438.1,59653.4,64832.6,51225.2,55477.4,1123.8538,159.0
18,266463.3,366024.1,239611.9,288870.1,7099.8,8191.2,28293.7,34123.7,643.6,525.6,1363.3,1573.2,164036.6,213813.9,138870.3,181414.1,1406.6434,169.0
19,269515.8,306554.3,181328.3,198688.9,6766.1,6791.8,26181.5,27488.7,499.9,447.7,1168.0,1220.3,151929.0,178387.0,129798.4,152885.3,1164.7377,172.0
20,231068.0,237714.1,170502.4,166836.5,4319.8,4109.5,17300.5,17418.9,382.0,180.4,772.8,706.0,101456.5,110658.1,85913.8,94356.4,1053.4706,181.0
21,237770.5,306735.5,200193.5,229303.3,5843.4,6944.6,22593.1,26154.8,623.5,839.8,1014.6,1218.6,128063.2,161893.2,110366.8,138306.5,1321.0237,191.0
22,284979.3,356075.8,281208.1,316734.6,6496.1,7474.1,25427.4,29309.9,711.9,277.1,1144.9,969.8,151669.8,187612.7,128916.1,159965.1,1279.4807,203.0
23,188818.6,191236.9,143479.2,141612.4,3168.5,2903.9,11251.5,11371.6,319.9,-118.9,649.9,538.0,68555.8,74874.8,58150.4,63186.1,1037.1243,205.0
24,156471.7,165474.9,118001.9,114447.4,3391.0,3144.8,13011.2,12508.0,575.0,279.7,622.8,319.6,73162.0,79821.6,63042.7,68686.3,1082.9705,216.0
25,211334.5,214081.0,135867.7,131965.1,3641.5,3407.5,15594.5,15407.0,527.5,265.5,748.3,702.0,92870.1,100250.3,79095.4,86235.8,1037.3398,221.0
26,197657.8,203498.3,149606.1,147466.0,4397.5,4983.0,16137.6,16282.8,378.4,36.6,789.7,656.6,96889.0,106566.2,83755.2,91578.8,1054.2632,251.0
27,248229.4,331281.0,255587.0,292815.1,5959.1,7071.9,24390.9,29435.8,608.7,721.9,1160.0,1525.5,145538.0,185200.4,126308.4,158711.7,1366.6355,263.0
28,146994.5,158526.8,116496.8,114239.9,2906.6,2966.1,11124.1,10933.9,363.1,197.7,571.3,368.3,69474.1,74510.1,60142.5,65151.9,1104.3501,268.0
29,143854.5,148594.5,103942.0,100360.9,3045.5,2488.2,10060.6,10011.5,365.8,-35.2,526.0,803.7,62026.1,67016.2,52366.2,56316.1,1057.7886,274.0
30,299421.7,373961.0,231561.1,268469.6,6925.6,7897.8,28803.5,34684.4,601.7,375.2,1411.5,1378.6,168098.9,213131.8,142171.7,180798.3,1278.9432,278.0
31,278153.0,315615.7,242082.2,249918.0,6128.5,6046.9,26018.8,26450.9,641.3,730.9,925.5,919.0,150285.4,168414.9,128007.0,143328.5,1161.9178,281.0
32,226862.0,227924.0,175007.8,171428.5,3004.0,2851.9,12655.1,12652.1,418.3,-123.0,730.4,353.2,80738.5,87068.9,67043.6,73472.7,1028.8186,284.0
33,290837.6,716890.1,253402.0,451364.9,7948.2,15130.7,30962.3,63868.4,461.6,677.9,1290.3,2795.8,191006.4,414093.2,161934.2,352793.2,2524.1216,292.0
34,227506.4,226080.0,157188.1,152411.5,3310.8,3416.1,15932.4,15572.2,464.9,380.4,568.6,523.4,93809.9,101056.3,80363.8,86685.4,1017.5883,297.0
35,181568.4,180912.6,128196.6,124003.3,3244.6,2830.7,11856.8,12010.1,502.7,440.5,488.6,290.2,73825.1,79138.4,62385.3,66978.2,1020.30316,299.0
36,265727.0,346276.6,255491.7,287057.1,6539.4,7430.5,26161.0,29164.2,956.7,818.7,1031.1,948.3,146995.3,178718.1,123315.6,150527.3,1334.439,300.0
37,269107.8,319963.4,266390.1,287038.2,5872.9,6217.2,22648.6,25271.5,709.4,457.2,933.9,967.2,136459.1,162021.8,117175.6,139113.2,1217.5278,305.0
38,264806.2,318573.7,249322.5,267572.1,5537.1,6080.7,20812.2,23740.6,438.5,399.0,1075.5,1292.7,127978.8,151969.5,108407.0,129030.4,1231.9458,318.0
39,237893.4,253723.1,178076.1,180797.2,5785.9,6069.1,20736.9,22066.4,672.9,337.6,772.7,584.3,124376.3,138106.3,104637.0,117521.6,1092.1604,338.0
40,231370.4,253241.8,172585.3,170928.8,4309.5,4876.5,17609.9,16911.6,496.6,311.0,939.2,853.4,109492.4,118472.5,92705.8,101369.8,1120.8066,346.0
41,247530.8,346121.3,270556.0,334737.6,6685.1,8112.8,24970.5,32190.1,464.3,478.3,1103.3,1179.0,157369.7,207676.9,136170.3,180653.5,1431.8679,360.0
42,158007.5,163783.6,110665.0,108646.0,3308.6,2826.2,11582.1,11723.2,707.9,407.2,620.0,777.9,72183.3,77728.3,62085.0,66763.7,1061.4797,386.0
43,223795.1,226384.7,134336.4,131903.3,4496.2,4157.0,18806.3,18673.7,535.7,568.9,1027.3,904.6,108606.3,117489.1,94445.2,102266.8,1035.8624,388.0
44,311886.4,384059.0,160339.9,188806.5,8359.2,9366.0,31118.5,36703.3,770.8,638.4,1353.9,1639.5,179210.7,225964.6,153207.7,192260.9,1260.9863,391.0
45,162388.0,164418.7,108357.2,104729.0,2996.0,3034.4,10241.8,10567.5,598.3,113.9,671.9,610.4,64811.8,70030.3,55705.5,60896.7,1036.8265,403.0
46,212214.4,217036.6,150734.0,146269.0,3876.4,3749.0,15685.4,15988.3,332.5,173.3,541.5,694.9,95605.7,102966.9,81716.3,88141.7,1047.2997,423.0
47,247070.3,264377.9,185080.0,184114.1,4894.1,5078.0,19015.5,18170.6,619.3,284.4,889.2,1178.6,109577.4,120537.5,93541.0,103147.8,1095.7588,425.0
48,240787.2,300792.6,291665.8,331151.4,5365.2,6295.3,23886.8,27067.2,341.0,192.2,895.8,1037.0,137122.8,168239.6,117134.9,143280.1,1279.2026,433.0
49,248153.2,306080.2,236084.9,261256.2,6327.3,6961.4,25419.3,28298.7,541.8,347.3,1083.1,1123.4,154603.0,184925.4,132349.3,158886.3,1263.04,436.0
50,247716.3,264856.0,196001.6,196202.8,5288.6,5271.5,20229.1,20296.1,539.4,263.1,1099.1,555.5,125454.0,137874.0,107776.2,118059.9,1094.8684,446.0
51,208699.9,217712.5,147219.0,143081.5,3219.5,3126.7,15042.8,14500.4,400.4,232.9,638.4,515.5,83668.8,91090.5,72326.3,77881.9,1068.2384,450.0
52,277237.6,342879.1,260737.4,297414.4,6052.2,6552.7,26143.6,29792.6,509.5,453.2,985.9,1108.2,155424.1,190967.3,133618.7,164378.5,1266.4757,454.0
53,266410.3,294641.0,176572.8,179286.0,5237.2,4719.1,20754.0,20510.4,314.1,186.2,844.0,961.8,125914.6,139756.7,106776.8,119180.3,1132.52,466.0
54,281169.4,323251.2,245050.0,261004.7,5185.0,5306.6,20930.2,21897.5,671.1,347.3,1248.1,1357.6,117182.7,136983.5,99187.8,116489.4,1177.2625,472.0
55,224475.8,298505.0,212474.9,251317.5,5235.7,6158.8,19864.2,23831.0,525.4,491.9,908.6,811.6,114606.9,145957.1,96132.0,124364.0,1361.7227,484.0
