,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,235004.2,264121.8,170753.8,184261.2,1758.3,1952.1,1555.7,1402.5,388.4,389.5,755.1,938.3,6831.2,8341.9,6003.8,7169.5,1150.8932,0.0
1,185277.8,205582.1,138252.7,137641.7,1253.5,1105.8,1088.4,1277.7,391.7,62.5,472.5,274.8,5902.3,6285.2,4980.5,5141.7,1136.2535,71.0
2,232915.4,284045.6,151866.2,170576.8,1602.3,1890.8,1732.7,1926.0,356.3,-19.6,505.3,464.2,8370.7,9649.4,7456.0,8498.6,1248.809,73.0
3,224348.3,253057.6,202149.6,218068.5,1612.1,1920.5,1168.7,1237.0,431.8,14.1,588.1,630.8,5856.5,7222.0,5083.3,5515.4,1155.0604,95.0
4,189987.1,193788.2,113794.1,113182.4,1443.8,910.2,1105.3,845.3,457.6,200.4,501.6,495.2,4773.4,4898.5,3982.5,4249.6,1044.5006,100.0
5,111957.4,125404.0,88542.4,87376.5,704.5,433.4,766.7,556.9,336.9,-18.6,419.0,351.6,3232.7,3378.1,2528.0,2999.4,1147.0425,129.0
6,279738.4,270212.7,135064.8,131934.2,1579.4,1592.5,1298.4,1114.4,405.2,55.0,629.7,331.7,6833.7,7527.3,5871.9,6322.3,989.1365,132.0
7,261649.6,272161.4,147787.1,155298.4,1723.5,1795.3,1281.4,1217.8,344.8,316.5,1022.0,964.8,3300.5,4023.5,3246.5,3481.6,1065.1423,147.0
8,167917.5,195832.8,118647.0,122894.4,1459.6,1085.1,907.9,932.7,377.5,38.6,528.7,423.7,5920.4,6357.1,4520.5,5532.1,1194.2712,191.0
9,248138.0,319066.5,146652.6,169778.8,1892.3,1808.2,1640.2,1781.4,374.5,95.6,804.3,722.6,8118.2,9763.7,6906.8,8558.3,1316.7118,196.0
10,446128.2,520958.5,337453.5,384024.6,3203.5,3784.8,3233.8,3640.1,431.2,263.5,1145.0,1528.8,15336.6,18361.1,12588.0,15837.3,1195.7588,236.0
11,204885.7,262550.9,155933.1,174536.2,1683.7,1852.9,1307.9,1411.8,476.5,65.6,621.2,717.2,5746.0,6800.9,5279.4,5757.9,1312.2399,241.0
12,206029.0,234990.8,126328.4,128851.2,1677.7,1623.2,1859.4,1656.9,356.1,138.7,658.7,411.9,6254.4,6756.8,5885.0,6429.7,1167.972,254.0
13,280519.0,333562.0,167460.1,188363.9,2096.9,2047.4,1465.9,1582.7,434.0,162.6,643.1,574.1,6267.7,7402.9,5542.6,6058.1,1217.6573,263.0
14,340588.7,349186.5,228781.1,227455.1,4410.9,4378.8,1466.9,1298.1,818.4,632.4,1824.1,1985.3,764.2,521.8,1055.4,1213.5,1049.8628,298.0
15,239824.4,299407.5,172928.5,192652.9,1833.4,1927.9,1928.0,2232.3,279.7,177.1,585.8,726.9,8237.8,9849.8,6748.4,8074.7,1278.4095,338.0
16,191257.6,239196.5,148046.3,174740.3,1648.6,1710.9,1370.9,1366.9,438.2,260.3,626.0,489.1,6346.8,7853.1,5100.1,6796.0,1280.6746,354.0
17,261052.3,354400.8,247488.1,273818.2,1935.7,2117.3,1957.4,2000.0,529.8,453.3,691.9,949.8,9113.1,11084.1,8016.1,9887.3,1390.1873,372.0
18,262923.1,302261.8,145462.1,162406.0,1982.1,1791.4,1322.6,1178.0,429.1,121.5,815.7,326.0,7513.4,8411.9,6458.1,7717.8,1177.2222,379.0
19,260837.1,343561.7,184286.8,214116.4,2007.8,2183.9,2114.7,2224.6,436.1,196.1,648.5,489.9,11139.1,14308.6,9748.0,12684.5,1348.7856,385.0
20,228347.4,244031.6,165229.5,164800.2,1508.2,1624.0,1585.1,1190.1,455.8,95.2,632.2,756.5,6525.6,6541.2,5229.6,6265.6,1094.35,407.0
21,160550.8,177508.7,112520.6,110375.0,1224.9,1176.8,1068.1,1046.1,349.9,-50.5,605.3,281.4,4515.2,5288.3,4040.9,4158.3,1132.2017,419.0
22,178491.4,193200.3,112056.4,110253.7,1320.4,1174.1,1077.6,730.3,487.3,143.8,425.4,358.1,5174.5,5680.5,4132.2,4203.1,1108.4039,529.0
23,191405.3,233893.9,155003.2,175404.9,1318.9,1604.6,1355.9,1123.1,424.0,178.4,577.4,456.7,6645.2,7869.6,5303.6,6477.2,1251.3424,544.0
24,242647.1,324646.3,189308.4,214872.7,2291.7,2538.0,2450.5,2418.8,516.2,-3.6,983.0,647.6,10376.2,12690.3,8604.9,10986.9,1370.0853,565.0
25,191769.5,189987.1,105140.1,103524.6,1054.0,434.4,1015.8,697.4,505.6,340.9,631.2,404.0,4142.8,4186.8,3405.8,3420.0,1014.48987,570.0
