,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,259843.3,300092.8,211266.1,218920.9,1417.0,1494.4,635.5,670.2,295.0,75.4,489.8,367.2,763.7,664.5,528.6,337.6,1182.6305,0.0
1,226738.7,232867.9,156546.6,154879.9,840.6,222.8,643.3,789.1,471.9,129.9,467.2,442.0,675.1,327.3,418.6,217.9,1051.6892,113.0
2,203648.4,281318.5,190345.1,223439.5,1112.5,1304.7,460.2,126.3,395.4,-1.1,648.8,573.4,579.1,557.2,571.0,575.0,1414.5493,134.0
3,209613.0,215710.8,73995.9,71358.9,989.9,1136.5,807.3,537.4,438.8,179.8,717.8,675.9,783.3,201.9,403.2,117.4,1053.8126,182.0
4,306093.8,344623.3,214250.5,229304.3,1334.3,1075.1,730.8,774.2,349.9,80.6,592.0,370.8,913.9,801.4,617.2,669.6,1152.9166,195.0
5,222753.7,272474.4,178782.3,190412.5,869.2,1044.7,446.5,435.6,529.0,244.7,536.9,155.5,582.5,657.6,795.2,676.6,1252.5718,215.0
6,276159.5,322627.6,209440.5,225961.2,897.6,1036.4,536.3,541.9,452.0,220.5,1086.4,584.4,621.7,287.9,474.4,374.8,1196.3341,221.0
7,186025.3,201650.1,126754.6,123933.4,714.4,740.1,372.8,156.4,490.5,237.4,350.9,43.9,475.1,141.9,377.8,296.8,1110.0132,338.0
8,238979.0,277262.8,121912.9,131988.7,1270.5,1118.4,272.6,56.8,648.2,221.6,889.8,820.2,791.2,452.9,628.2,519.3,1188.0536,345.0
9,155952.1,173184.2,116630.4,116470.0,678.4,736.1,444.8,382.5,368.8,-66.4,447.0,465.8,620.2,197.0,606.2,404.0,1137.1475,372.0
10,256052.3,511493.9,196485.9,339208.0,1225.0,1907.0,463.7,1039.6,465.6,376.9,612.5,747.0,719.3,1046.8,477.8,776.6,2045.5905,402.0
11,195261.0,193564.9,110975.3,106715.7,904.4,771.3,333.6,167.0,555.2,314.4,541.2,406.7,469.8,163.4,470.0,462.7,1015.1291,443.0
12,202085.9,225453.9,146966.9,146160.0,969.8,727.3,563.1,317.1,498.7,13.3,714.4,490.2,659.5,317.3,556.8,595.1,1142.4406,463.0
13,261612.3,293883.3,161857.3,164796.5,1063.5,1134.9,707.2,310.5,400.8,314.0,666.3,639.7,624.8,445.7,594.0,218.0,1150.3325,489.0
14,217642.2,229201.4,132417.4,130496.8,1057.8,900.4,426.2,91.9,404.3,27.9,393.3,192.1,371.1,419.2,496.4,310.0,1078.3923,497.0
15,271745.8,301278.8,208184.4,209805.7,1319.7,656.1,592.0,607.4,426.5,222.1,639.1,522.3,474.8,361.9,505.4,347.1,1135.2935,510.0
16,220038.7,245570.8,143131.0,143797.8,1113.7,895.5,511.3,546.2,373.5,2.6,675.5,496.6,590.9,450.4,761.5,1001.0,1142.8505,544.0
17,275270.3,328972.6,171167.1,180135.6,1385.9,1575.9,656.0,408.5,570.6,198.3,1078.1,707.9,633.3,401.6,649.9,373.7,1223.7991,545.0
18,175682.7,202930.5,108527.7,109022.1,940.0,493.6,318.4,197.2,407.2,322.8,389.0,373.8,658.8,302.1,456.7,487.0,1182.8342,556.0
19,249530.7,262160.5,129567.6,126969.5,878.9,508.9,490.4,621.7,411.6,-9.4,782.3,294.1,638.8,201.6,572.1,290.6,1075.8385,576.0
20,213053.3,218496.9,132685.1,129468.5,822.3,864.7,507.6,586.6,469.3,-69.0,483.4,385.6,545.2,506.9,459.7,64.8,1050.1879,585.0
21,338484.6,325823.5,84905.3,81566.6,1180.2,1386.6,566.4,283.8,329.5,-144.9,690.3,655.3,836.1,534.9,866.5,715.1,985.71045,620.0
22,243757.8,314442.6,226552.8,244943.9,1215.7,1169.5,719.5,212.0,410.3,213.1,594.7,701.2,497.4,290.1,565.0,682.4,1320.968,685.0
23,299012.7,323835.6,152123.2,150089.3,1199.5,949.1,400.0,215.4,405.0,124.8,522.7,742.7,517.1,817.0,599.6,174.2,1109.0256,700.0
24,120251.3,115168.5,74318.8,70678.8,485.8,292.1,145.4,-236.8,434.1,-286.7,416.5,2.0,316.2,212.1,339.6,31.2,980.7443,732.0
25,236202.3,244265.4,136367.9,132925.5,758.3,688.9,566.5,330.4,360.5,-339.1,349.3,224.5,436.2,436.4,709.6,758.9,1058.9642,772.0
26,228835.5,302468.8,167177.5,188633.3,932.7,588.3,486.9,530.4,399.2,257.6,896.8,558.8,517.5,632.6,666.1,973.9,1353.5159,784.0
27,217266.9,251123.5,172193.6,174592.8,1574.3,1498.8,373.7,272.3,470.5,227.1,1134.0,623.3,546.3,445.7,493.5,573.2,1183.5852,832.0
28,239946.4,253048.7,161222.5,159492.8,1171.6,1273.4,306.5,-5.9,451.9,196.1,569.2,236.7,542.2,307.1,490.8,625.4,1079.9255,841.0
29,260029.8,309327.4,185252.5,205250.7,1267.5,1628.7,504.1,489.6,508.6,333.9,720.7,895.2,569.8,331.7,523.2,845.8,1218.16,861.0
30,207133.5,281836.0,180741.0,199822.0,1086.4,1359.0,470.4,370.9,314.7,-218.6,391.4,118.3,618.3,622.4,633.6,413.5,1393.3391,866.0
31,310749.3,336586.7,216135.7,220331.9,1029.0,1334.1,462.6,151.5,509.2,-4.7,736.0,955.5,478.6,269.1,482.6,491.3,1109.1592,873.0
32,230408.9,263865.6,138113.1,145835.5,1241.2,878.3,725.2,578.0,458.8,346.3,1055.2,1159.6,468.1,107.2,415.5,263.6,1172.6926,910.0
33,223106.3,220720.2,128052.0,122437.3,573.2,649.5,328.2,131.9,212.1,-118.3,595.0,-25.7,614.4,178.2,419.1,317.3,1013.0579,939.0
34,199299.7,230117.0,148121.8,148788.4,1081.5,523.4,713.1,828.9,355.3,-113.5,772.7,480.5,553.2,377.3,661.2,501.5,1182.361,967.0
35,296188.0,283538.2,132640.6,126490.3,997.1,864.4,452.3,9.1,269.6,-235.5,634.5,474.6,753.9,403.1,463.0,316.6,980.2771,1008.0
36,327062.8,354511.6,211915.2,222156.2,1219.4,1257.6,863.9,1007.8,440.3,257.7,688.8,930.8,868.1,673.7,709.1,671.2,1109.9606,1057.0
37,203987.1,212534.3,122623.9,120087.0,800.4,1142.8,744.4,248.2,371.9,36.5,580.1,505.7,554.0,281.1,648.7,549.0,1066.921,1067.0
