,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,146785.1,145704.8,93397.5,87949.0,814.6,194.4,581.1,360.3,338.5,39.0,360.1,216.0,2044.7,1911.3,1745.4,1732.8,1016.46564,0.0
1,156299.6,165941.9,117954.7,113865.5,1124.6,603.1,584.0,402.6,471.7,74.6,550.6,482.6,1686.6,1933.6,1749.6,1620.6,1087.1941,5.0
2,146102.0,162411.7,115645.8,117830.7,1094.6,581.2,772.3,728.0,588.0,167.4,383.3,290.5,1962.8,1771.6,1653.0,2174.1,1138.3568,7.0
3,211552.0,247068.9,161282.6,171541.4,958.1,631.0,732.2,613.3,365.3,186.1,498.7,362.4,1948.2,2129.1,1848.3,2097.5,1195.9147,14.0
4,113631.8,120282.4,88607.9,86395.5,783.4,596.3,566.6,-8.3,437.1,238.6,447.7,221.8,876.2,900.7,1228.8,1051.0,1084.003,18.0
5,176769.8,215162.3,164367.9,170867.4,1467.9,1431.3,791.2,1168.8,372.5,1.7,566.8,224.8,1968.7,2040.7,1702.1,2054.1,1246.4098,33.0
6,145221.8,169159.8,147662.3,148718.4,1294.5,1356.0,651.3,362.3,326.6,-37.1,370.2,169.6,2249.6,2443.1,2187.1,1905.3,1192.8356,36.0
7,142176.3,157477.5,113941.1,110974.9,920.5,796.6,416.2,260.6,420.6,20.5,501.4,305.5,1870.6,1556.5,1789.9,1242.0,1134.203,41.0
8,127983.3,140860.3,91188.9,86752.2,663.9,559.2,462.4,555.8,372.5,-365.2,394.7,427.6,1260.0,1283.7,1315.9,1345.8,1127.0913,82.0
9,58676.1,65670.9,105073.4,103510.8,729.3,458.6,551.9,403.4,417.4,133.0,525.7,443.7,276.9,-5.5,573.6,521.9,1146.1359,93.0
10,208016.1,266831.6,158155.0,179563.8,1474.8,1830.3,776.6,1165.0,364.4,134.8,678.9,331.2,3159.3,3657.3,3094.5,3023.6,1313.5284,155.0
11,155060.5,198562.2,140746.3,154645.1,1295.3,1319.1,589.6,153.2,440.6,48.1,789.2,670.3,1343.8,1659.3,1444.2,1696.3,1311.3165,164.0
12,146050.7,155297.0,92583.7,90886.6,721.6,697.7,506.7,567.4,359.2,9.0,479.5,363.2,1754.7,1814.9,1526.9,1587.5,1088.8448,174.0
13,188552.8,202512.7,112757.5,112847.8,1215.9,985.8,498.0,345.3,484.6,100.0,606.3,561.1,2681.5,2618.0,2408.9,2594.2,1099.8148,199.0
14,151115.2,183020.1,97668.0,103552.0,1048.3,966.4,720.8,285.3,525.5,230.4,562.2,454.0,1571.9,1549.5,1601.0,1844.6,1240.219,217.0
15,169611.3,184119.6,123720.5,121841.0,1095.3,935.4,506.8,516.3,342.3,14.1,606.8,347.7,1470.2,1666.6,1395.0,1311.5,1111.6095,237.0
16,164907.9,174840.7,121736.4,120215.7,1006.2,937.3,674.1,666.3,467.4,182.1,666.9,386.5,1945.9,2277.4,1656.9,1867.5,1085.6993,328.0
