,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,233633.0,253460.6,148807.4,145538.7,1195.8,893.2,419.7,312.2,415.1,43.7,613.6,371.0,274.3,-72.6,418.5,656.3,1110.9076,0.0
1,210744.8,237322.2,144853.9,144877.7,1256.7,886.5,507.0,479.5,448.4,-116.2,414.7,255.0,416.1,112.4,398.6,-18.7,1153.1418,8.0
2,234914.5,240970.2,136329.5,132858.1,1062.8,941.2,596.3,350.9,346.4,-140.7,637.5,130.0,400.1,-66.6,310.2,14.0,1050.4052,37.0
3,494102.8,521616.5,357968.3,359749.8,2593.6,2633.7,864.9,1043.5,330.3,-100.7,883.4,790.7,359.6,219.6,413.8,271.1,1081.0354,175.0
4,256071.7,326566.3,227614.8,252558.9,2341.0,2297.5,806.9,652.6,506.2,254.5,1171.2,1173.7,311.0,-49.5,377.8,92.3,1305.9355,193.0
5,217752.8,293338.3,225820.7,253116.3,1180.6,1188.2,298.8,150.2,303.5,42.9,489.5,479.4,435.7,113.0,342.8,120.5,1379.4506,222.0
6,189559.5,223774.5,152926.5,161940.9,1303.3,1493.9,366.0,300.3,473.0,48.2,505.2,308.4,350.1,226.5,367.7,458.1,1208.8772,299.0
7,182420.3,172567.0,99053.6,96908.8,821.6,529.5,278.5,59.6,469.6,110.9,624.3,260.3,285.2,-189.2,316.1,-90.7,968.7094,327.0
8,345684.5,389875.6,289420.7,298166.8,1710.5,1656.9,736.9,709.1,380.3,-306.0,1003.3,936.4,404.7,180.9,375.1,156.3,1154.9178,349.0
9,271295.0,296354.3,152480.4,150684.6,2274.3,2209.8,993.5,755.9,466.4,326.6,976.4,991.5,518.7,256.2,414.6,284.1,1118.6119,364.0
10,224410.7,248442.9,148573.2,152793.1,1220.9,1251.4,595.4,835.6,401.8,337.1,618.5,763.7,406.8,246.4,160.8,53.0,1133.6699,379.0
11,273993.7,278189.0,110666.8,109786.2,846.6,1175.1,550.3,502.5,438.4,345.4,444.4,227.9,341.5,-74.2,203.8,-137.9,1039.6837,480.0
12,235174.1,272328.9,161517.7,163874.6,1446.5,1278.2,636.9,537.6,423.1,222.6,538.6,453.8,325.1,270.7,461.6,219.4,1185.807,606.0
13,319157.1,366484.5,209149.6,229152.4,1601.8,1196.5,584.7,188.9,401.1,132.7,753.7,865.0,396.3,384.5,326.0,250.3,1175.8649,625.0
14,247642.6,255517.0,153867.8,149687.5,1130.6,916.6,326.1,246.3,417.7,106.7,471.8,422.8,366.8,-179.4,347.1,156.6,1056.5696,653.0
15,284862.9,334250.4,181896.1,199132.5,2193.5,2353.7,800.0,530.1,324.6,118.0,935.7,855.3,418.1,194.5,286.2,89.8,1201.5615,730.0
16,385053.8,422363.5,380014.8,382969.4,2862.8,2680.3,1030.1,592.9,498.4,474.0,1293.9,1316.8,299.2,145.9,479.0,249.0,1123.2372,757.0
17,241137.4,319210.5,222881.3,241496.2,1329.6,1286.5,461.0,271.1,472.4,200.9,623.1,316.5,214.1,-237.6,285.1,185.0,1355.5464,834.0
18,227971.8,259026.3,183904.9,185337.5,1271.1,987.4,533.9,649.7,392.6,189.3,465.1,303.0,644.7,-142.9,277.1,39.0,1163.5059,840.0
