,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,166259.9,162050.4,117399.9,114716.9,1062.9,711.0,389.8,298.7,380.0,-11.1,535.7,786.6,1372.1,1158.7,1390.7,1166.3,998.09143,0.0
1,139018.0,159418.6,103916.8,110831.2,1081.4,667.7,478.2,46.3,421.7,86.5,657.1,319.6,1475.7,1206.1,1332.9,1426.8,1174.2823,0.0
2,209919.3,287667.8,175624.5,202642.1,1797.0,1938.9,1051.7,1231.2,471.5,275.9,708.3,966.3,2723.0,3151.7,2496.7,2841.6,1403.3096,7.0
3,203204.2,215082.2,120636.5,126712.7,1287.0,1069.6,484.2,348.6,253.2,85.7,614.1,469.0,1597.7,1753.1,1318.7,1438.7,1083.8752,31.0
4,409388.5,471623.3,250093.1,277986.0,3070.2,3114.4,1713.2,1852.2,498.6,158.8,961.1,911.7,3847.6,4202.5,3292.9,4042.5,1179.6783,51.0
5,223279.0,290013.6,183744.5,213568.5,1729.7,1820.5,725.4,468.5,480.0,134.3,843.6,797.4,2367.6,3034.4,1985.5,2466.5,1330.0966,91.0
6,314293.9,381546.3,214417.6,250270.3,2056.2,2204.1,1424.7,1181.4,481.3,8.3,896.4,912.5,2866.8,3372.4,2457.0,2965.3,1243.1356,101.0
7,168065.7,172853.7,112588.8,112682.5,1119.1,1005.7,868.2,453.4,421.3,254.2,466.4,469.9,1763.5,1944.7,1382.2,1240.8,1053.182,102.0
8,185633.3,215926.2,145837.2,168062.3,1362.1,1034.8,555.0,268.9,484.5,256.3,775.8,317.4,1904.6,2237.3,1692.0,1863.4,1191.1078,128.0
9,223997.1,222631.3,199939.9,204486.8,1195.3,1218.8,759.8,653.6,557.9,31.1,568.2,651.2,1946.4,1945.9,1789.4,1798.0,1017.77576,133.0
10,175501.6,224862.4,146818.2,165145.0,1147.2,1164.1,658.5,646.7,454.6,129.3,776.1,348.6,1820.9,2118.2,1693.2,1421.2,1312.0452,135.0
11,231337.9,229038.8,74008.0,73197.9,1082.3,855.5,697.0,512.9,290.5,22.9,684.0,615.1,2206.7,1712.9,1702.4,1679.5,1013.8302,140.0
